date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:34%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/prop-addons-c273171479d5a649b71fe57a3467779c.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/prop-addons-c273171479d5a649b71fe57a3467779c.png	(from https://www.heroku.com/)
16:07:41	6210/6210	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/prop-addons-c273171479d5a649b71fe57a3467779c.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/prop-addons-c273171479d5a649b71fe57a3467779c.png	(from https://www.heroku.com/)
16:07:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:34%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/logotype-heroku-36c3ecd3ff20da9e45b441d7b6544b3e.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/logotype-heroku-36c3ecd3ff20da9e45b441d7b6544b3e.png	(from https://www.heroku.com/)
16:07:41	1413/1413	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/logotype-heroku-36c3ecd3ff20da9e45b441d7b6544b3e.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/logotype-heroku-36c3ecd3ff20da9e45b441d7b6544b3e.png	(from https://www.heroku.com/)
16:07:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:35%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/logo-ello-dbef210026f0b77352944f411e92ac48.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/logo-ello-dbef210026f0b77352944f411e92ac48.png	(from https://www.heroku.com/)
16:07:42	1586/1586	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/logo-ello-dbef210026f0b77352944f411e92ac48.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/logo-ello-dbef210026f0b77352944f411e92ac48.png	(from https://www.heroku.com/)
16:07:42	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:35%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/feature-dynos-b5ad347034fee00cff0d7edffa832cc9.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-dynos-b5ad347034fee00cff0d7edffa832cc9.png	(from https://www.heroku.com/)
16:07:42	4988/4988	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/feature-dynos-b5ad347034fee00cff0d7edffa832cc9.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-dynos-b5ad347034fee00cff0d7edffa832cc9.png	(from https://www.heroku.com/)
16:07:43	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:36%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/feature-database-282f6f813ef279cdd9ba537d8cdb111d.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-database-282f6f813ef279cdd9ba537d8cdb111d.png	(from https://www.heroku.com/)
16:07:43	18924/18924	---M--	200	added ('OK')	text/html	etag:W/%2293d660da1f7a781e4756fd36c4c4ce64%22	https://www.heroku.com/postgres	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/postgres.html	(from https://www.heroku.com/)
16:07:43	5969/5969	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/feature-database-282f6f813ef279cdd9ba537d8cdb111d.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-database-282f6f813ef279cdd9ba537d8cdb111d.png	(from https://www.heroku.com/)
16:07:43	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:36%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/feature-addons-c0416f7beceeaa5a5c1b8531f5db67bb.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-addons-c0416f7beceeaa5a5c1b8531f5db67bb.png	(from https://www.heroku.com/)
16:07:44	6478/6478	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/feature-addons-c0416f7beceeaa5a5c1b8531f5db67bb.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-addons-c0416f7beceeaa5a5c1b8531f5db67bb.png	(from https://www.heroku.com/)
16:07:45	33213/33213	---M--	200	added ('OK')	text/html	etag:W/%2287e9500371340b26abe932cfa1f2d3c2%22	https://www.heroku.com/connect	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/connect.html	(from https://www.heroku.com/)
16:07:45	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:37%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/feature-connect-5a930664b4480f010048fbc99aa50027.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-connect-5a930664b4480f010048fbc99aa50027.png	(from https://www.heroku.com/)
16:07:45	6472/6472	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/feature-connect-5a930664b4480f010048fbc99aa50027.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-connect-5a930664b4480f010048fbc99aa50027.png	(from https://www.heroku.com/)
16:07:45	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:39%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/feature-support-4e736aeb8f45c23537ba37fa5244897b.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-support-4e736aeb8f45c23537ba37fa5244897b.png	(from https://www.heroku.com/)
16:07:46	4858/4858	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/feature-support-4e736aeb8f45c23537ba37fa5244897b.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/feature-support-4e736aeb8f45c23537ba37fa5244897b.png	(from https://www.heroku.com/)
16:07:46	10590/10590	---M--	200	added ('OK')	text/html	etag:W/%2299e9cc21a37eeabd334ebf21cbc168b6%22	https://www.heroku.com/critical	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/critical.html	(from https://www.heroku.com/)
16:07:47	20653/20653	---M--	200	added ('OK')	text/html	etag:W/%22f68d345d6594a3b3d446ef964c6bd9c1%22	https://www.heroku.com/what	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/what.html	(from https://www.heroku.com/)
16:07:47	10869/10869	---M--	200	added ('OK')	text/html	etag:W/%22cf03e5db84a34eaacc7a9b535ed4fa41%22	https://www.heroku.com/about	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/about.html	(from https://www.heroku.com/)
16:07:47	18248/18248	---M--	200	added ('OK')	text/html	etag:W/%22367c864d86e739c4ff038b103b66d28f%22	https://www.heroku.com/careers	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/careers.html	(from https://www.heroku.com/)
16:07:47	27526/27526	---M--	200	added ('OK')	text/html	etag:W/%2241acd4e1b745d18d04eab03b14c034a0%22	https://www.heroku.com/customers	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/customers.html	(from https://www.heroku.com/)
16:07:48	40642/40642	---M--	200	added ('OK')	text/html	etag:W/%22b2d4b72b604e4b7cca7efa222e90148d%22	https://www.heroku.com/policy/tos	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/policy/tos.html	(from https://www.heroku.com/)
16:07:49	34784/34784	---M--	200	added ('OK')	text/html	etag:W/%225e987d355c2ab1609bf674fa4694c479%22	https://www.heroku.com/policy/privacy	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/policy/privacy.html	(from https://www.heroku.com/)
16:07:49	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:41%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/application-c15f843d8049e678e5e9dcf9d19293e8.js	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/application-c15f843d8049e678e5e9dcf9d19293e8.js	(from https://www.heroku.com/)
16:07:50	225512/225512	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20May%202015%2015:44:31%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/application-c15f843d8049e678e5e9dcf9d19293e8.js	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/application-c15f843d8049e678e5e9dcf9d19293e8.js	(from https://www.heroku.com/)
16:07:50	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:43%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-languages-10b07dd48a826b3272a0215bc9554dc5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-languages-10b07dd48a826b3272a0215bc9554dc5.png	(from https://www.heroku.com/features)
